'battery': 0.018623763182668066,
'ram': 0.0075257099541155264,
'price': 0.0096665661237374922,
'storage': 0.021055257952716459,
'camera': 0.022233011993831667,
'size': 0.010503767296936915,
'screen': 0.019821849292253866,
'daydream': 0.028752687168403217,
'processor': 0.017027424537583203,
'design': 0.038581040845350287,
'screen': 0.02113458130363368,
'display': 0.023203976110647877,
'software': 0.02142732088422691
