'battery': 0.011874166415303457,
'photo': 0.0092610016664159672,
'touch': 0.024347440146690203,
'storage': 0.010055299162754026,
'camera': 0.034987860352903605,
'screen': 0.014787853555663484,
'headphone': -0.0024690547136367565,
'price': 0.0094778994936452962,
'processor': 0.051526717969642796,
'design': 0.029990821645779875,
'display': 0.01811421214806266,
