phone, gprs, network_c, camera_c, wlan, features, weight, _4g_bands, _2g_bands, bluetooth, performance, loudspeaker_, radio, technology, clock, gpu, size, loudspeaker, DeviceName, alert_types, java, dimensions, sar_eu, body_c, Brand, talk_time, infrared_port, stand_by, multitouch, internal, build, display_c, type, sim, gps, status, features_c, games, audio_quality, primary_, _3g_bands, memory_c, protection, music_play, chipset, card_slot, sensors, _3_5mm_jack_, camera, secondary, speed, nfc, sar_us, resolution, alarm, messaging, colors, battery_c, cpu, phonebook, edge, sound_c, announced, usb, video, call_records, os, display, browser
appleiphone 6 plus, Yes, LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700)  38(2600)  39(1900)  40(2300)  41(2500) - A1524, NULL, Wi-Fi 802.11 a/b/g/n/ac  dual-band  hotspot, 1/3" sensor size  1.5 Âµm pixel size  touch focus  geo-tagging  face/smile detection  HDR (photo/panorama), 172 g (6.07 oz), LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700) - A1522 GSM  A1522 CDMA, GSM 850 / 900 / 1800 / 1900 - A1522 (GSM)  A1522 (CDMA)  A1524, v4.0  A2DP  LE,   Basemark OS II: 1222, Yes, No, GSM / CDMA / HSPA / EVDO / LTE, NULL, PowerVR GX6450 (quad-core graphics), 5.5 inches (~67.8% screen-to-body ratio),   Voice 67dB / Noise 65dB / Ring 66dB, Apple iPhone 6 Plus, Vibration  proprietary ringtones, No, 158.1 x 77.8 x 7.1 mm (6.22 x 3.06 x 0.28 in),   0.99 W/kg (head) &nbsp  &nbsp  0.91 W/kg (body) &nbsp  &nbsp  , - Apple Pay (Visa  MasterCard  AMEX certified), Apple, Up to 24 h (3G), NULL, Up to 384 h (3G), Yes, 16/64/128 GB  1 GB RAM DDR3, NULL, - Display Zoom, LED-backlit IPS LCD  capacitive touchscreen  16M colors, Nano-SIM, Yes  with A-GPS  GLONASS, Available. Released 2014  September, - Active noise cancellation with dedicated mic%  - Siri natural language commands and dictation%  - iCloud cloud service%  - iCloud Keychain%  - TV-out%  - Maps%  - iBooks PDF reader%  - Audio/video player/editor%  - Organizer%  - Document viewer/editor%  - Photo viewer/editor%  - Voice memo/dial/command%  - Predictive text input, NULL,   Noise -94dB / Crosstalk -72dB, 8 MP  f/2.2  29mm  OIS  phase detection autofocus  dual-LED (dual tone) flash, HSDPA 850 / 900 / 1700 / 1900 / 2100 - A1522 (GSM)  A1522 (CDMA)  A1524, NULL, Ion-strengthened glass  oleophobic coating, Up to 80 h, Apple A8, No, Fingerprint  accelerometer  gyro  proximity  compass  barometer, Yes,   Photo / Video, 1.2 MP  f/2.2  31mm  720p@30fps  face detection  HDR  FaceTime over Wi-Fi or Cellular, HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps, Yes (Apple Pay only),   1.19 W/kg (head) &nbsp  &nbsp  1.19 W/kg (body) &nbsp  &nbsp  , 1080 x 1920 pixels (~401 ppi pixel density), NULL, iMessage  SMS (threaded view)  MMS  Email  Push Email, Space Gray  Silver  Gold, Non-removable Li-Po 2915 mAh battery (11.1 Wh), Dual-core 1.4 GHz Typhoon (ARM v8-based), NULL, Yes, NULL, 2014  September, v2.0  reversible connector, 1080p@60fps  720p@240fps, NULL, iOS 8  upgradable to iOS 9.2,   Contrast ratio: 1361 (nominal)  3.023 (sunlight), HTML5 (Safari)
samsunggalaxy s7, Yes, HSDPA 850 / 900 / 1700 / 1900 / 2100 , NULL, Wi-Fi 802.11 a/b/g/n/ac  dual-band  Wi-Fi Direct  hotspot, Geo-tagging  touch focus  face detection  Auto HDR  panorama, -,  LTE, GSM 850 / 900 / 1800 / 1900 , v4.2  A2DP  LE  apt-X, NULL, Yes, No, GSM / HSPA / LTE, NULL, Adreno 530/ Mali-T880 MP12, 5.1 inches (~70.6% screen-to-body ratio), NULL, Samsung Galaxy S7, Vibration  MP3  WAV ringtones, No, 143.4 x 70.8 x 6.9 mm (5.65 x 2.79 x 0.27 in), NULL, - Samsung Pay (Visa  MasterCard certified), Samsung, NULL, Yes, NULL, Yes, 32/64/128 GB  4 GB RAM, Corning Gorilla Glass 5 back panel, - Force Touch display%  - TouchWiz UI, Super AMOLED capacitive touchscreen  16M colors, Nano-SIM, Yes  with A-GPS  GLONASS  BDS, Rumored. Exp. release 2016  March 11, - Fast battery charging: 83% in 30 min (Quick Charge 3.0)%  - Wireless charging (Qi/PMA) - market dependent%  - ANT+ support%  - S-Voice natural language commands and dictation%  - OneDrive (115 GB cloud storage)%  - Active noise cancellation with dedicated mic%  - MP4/DivX/XviD/WMV/H.264 player%  - MP3/WAV/WMA/eAAC+/FLAC player%  - Photo/video editor%  - Document editor, NULL, NULL, Yes  phase detection autofocus  OIS  dual-LED (dual tone) flash, HSDPA 850 / 900 / 1900 / 2100 , NULL, Corning Gorilla Glass 5, NULL, Qualcomm MSM8996 Snapdragon 820/ Exynos 8890 Octa, No, Iris scanner  fingerprint  accelerometer  gyro  proximity  compass  barometer  heart rate  SpO2, Yes, NULL, Yes  dual video call  Auto HDR, HSPA 42.2/5.76 Mbps  LTE Cat9 450/50 Mbps, Yes, NULL, 1440 x 2560 pixels (~576 ppi pixel density), NULL, SMS(threaded view)  MMS  Email  Push Mail  IM, Various, Non-removable battery, NULL, NULL, Yes, NULL, Exp. announcement 2016  February 21, microUSB v2.0  USB Host, 2160p@30fps  1080p@60fps  720p@120fps  HDR  dual-video rec., NULL, Android OS  v6.0 (Marshmallow), NULL, HTML5
googlepixel xl, Yes, NULL, NULL, Wi-Fi 802.11 a/b/g/n/ac  dual-band  Wi-Fi Direct  DLNA  hotspot, 1/2.3" sensor size  1.55Âµm pixel size  geo-tagging  touch focus  face detection  HDR  panorama, -,  LTE, GSM 850 / 900 / 1800 / 1900 , v4.2  A2DP  LE, NULL, Yes, No, GSM / HSPA / LTE, NULL, NULL, 5.5 inches, NULL, Google Pixel XL, Vibration  MP3  WAV ringtones, No, -, NULL, NULL, Google, NULL, NULL, NULL, Yes, 32/64/128 GB  4 GB RAM, NULL, NULL, Capacitive touchscreen  16M colors, Nano-SIM, Yes  with A-GPS  GLONASS, Rumored. Exp. release 2016  October, - Fast battery charging%  - MP4/H.264 player%  - MP3/WAV/eAAC+ player%  - Photo/video editor%  - Document editor, NULL, NULL, 12 MP  f/1.8  phase detection autofocus  dual-LED (dual tone) flash, HSDPA 850 / 900 / 1900 / 2100 , NULL, Corning Gorilla Glass (unspecified version), NULL, Qualcomm MSM8996 Snapdragon 820, No, Fingerprint  accelerometer  gyro  proximity  compass  barometer, Yes, NULL, 8 MP  f/2.0  1/3.2" sensor size  1.4 Âµm pixel size  1080p, HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps, Yes, NULL, 1440 x 2560 pixels (~534 ppi pixel density), NULL, SMS(threaded view)  MMS  Email  Push Mail  IM, Various, Non-removable battery, NULL, NULL, Yes, - Active noise cancellation with dedicated mic, Exp. announcement 2015  October, Type-C 1.0 reversible connector, 2160p@30fps, NULL, Android OS  v7.1 (Nougat), NULL, HTML5
appleiphone 6s, Yes, LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  12(700)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700)  30(2300)  38(2600)  39(1900)  40(2300)  41(2500) - A1687, NULL, Wi-Fi 802.11 a/b/g/n/ac  dual-band  hotspot, 1/3" sensor size  1.22 Âµm pixel size  geo-tagging  simultaneous 4K video and 8MP image recording  touch focus  face/smile detection  HDR (photo/panorama), 143 g (5.04 oz), LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  12(700)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700) - A1688, GSM 850 / 900 / 1800 / 1900 , v4.2  A2DP  LE,   Basemark OS II 2.0: 2195, Yes, No, GSM / CDMA / HSPA / EVDO / LTE, NULL, PowerVR GT7600 (six-core graphics), 4.7 inches (~65.6% screen-to-body ratio),   Voice 66dB / Noise 64dB / Ring 65dB, Apple iPhone 6s, Vibration  proprietary ringtones, No, 138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),   0.87 W/kg (head) &nbsp  &nbsp  0.98 W/kg (body) &nbsp  &nbsp  , - Apple Pay (Visa  MasterCard  AMEX certified), Apple, Up to 14 h (3G), NULL, Up to 240 h (3G), Yes, 16/64/128 GB  2 GB RAM, NULL, - Force Touch display%  - Display Zoom, LED-backlit IPS LCD  capacitive touchscreen  16M colors, Nano-SIM, Yes  with A-GPS  GLONASS, Available. Released 2015  September, - Active noise cancellation with dedicated mic%  - Siri natural language commands and dictation%  - iCloud cloud service%  - iCloud Keychain%  - TV-out%  - Maps%  - Organizer%  - Document editor%  - Photo/video editor, NULL,   Noise -93.8dB / Crosstalk -73.2dB, 12 MP  f/2.2  29mm  phase detection autofocus  dual-LED (dual tone) flash, HSDPA 850 / 900 / 1700 / 1900 / 2100 , NULL, Ion-strengthened glass  oleophobic coating, Up to 50 h, Apple A9, No, Fingerprint  accelerometer  gyro  proximity  compass  barometer, Yes,   Photo / Video, 5 MP  f/2.2  31mm  1080p@30fps  720p@240fps  face detection  HDR  panorama, HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps, Yes (Apple Pay only),   1.14 W/kg (head) &nbsp  &nbsp  1.14 W/kg (body) &nbsp  &nbsp  , 750 x 1334 pixels (~326 ppi pixel density), NULL, iMessage  SMS (threaded view)  MMS  Email  Push Email, Space Gray  Silver  Gold  Rose Gold, Non-removable Li-Po 1715 mAh battery (6.9 Wh), Dual-core 1.84 GHz Twister, NULL, Yes, NULL, 2015  September, v2.0  reversible connector, 2160p@30fps  1080p@60fps 1080p@120fps  720p@240fps, NULL, iOS 9  upgradable to iOS 9.2,   Contrast ratio: 1481 (nominal)   3.783 (sunlight), HTML5 (Safari)
appleiphone 6s plus, Yes, LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  12(700)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700)  30(2300)  38(2600)  39(1900)  40(2300)  41(2500) - A1634, NULL, Wi-Fi 802.11 a/b/g/n/ac  dual-band  hotspot, 1/3" sensor size  1.22 Âµm pixel size  geo-tagging  simultaneous 4K video and 8MP image recording  touch focus  face/smile detection  HDR (photo/panorama), 192 g (6.77 oz), LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  12(700)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700)  30(2300) - A1633, GSM 850 / 900 / 1800 / 1900 , v4.2  A2DP  LE,   Basemark OS II 2.0: 2261, Yes, No, GSM / CDMA / HSPA / EVDO / LTE, NULL, PowerVR GT7600 (six-core graphics), 5.5 inches (~67.7% screen-to-body ratio),   Voice 65dB / Noise 65dB / Ring 64dB, Apple iPhone 6s Plus, Vibration  proprietary ringtones, No, 158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),   0.93 W/kg (head) &nbsp  &nbsp  0.98 W/kg (body) &nbsp  &nbsp  , - Apple Pay (Visa  MasterCard  AMEX certified), Apple, Up to 24 h (3G), NULL, Up to 384 h (3G), Yes, 16/64/128 GB  2 GB RAM, NULL, - Force Touch display%  - Display Zoom, LED-backlit IPS LCD  capacitive touchscreen  16M colors, Nano-SIM, Yes  with A-GPS  GLONASS, Available. Released 2015  September, - Active noise cancellation with dedicated mic%  - Siri natural language commands and dictation%  - iCloud cloud service%  - iCloud Keychain%  - TV-out%  - Maps%  - Organizer%  - Document editor%  - Photo/video editor, NULL,   Noise -93.4dB / Crosstalk -71.1dB, 12 MP  f/2.2  29mm  phase detection autofocus  dual-LED (dual tone) flash, HSDPA 850 / 900 / 1700 / 1900 / 2100 , NULL, Ion-strengthened glass  oleophobic coating, Up to 80 h, Apple A9, No, Fingerprint  accelerometer  gyro  proximity  compass  barometer, Yes,   Photo / Video, 5 MP  f/2.2  31mm  1080p@30fps  720p@240fps  face detection  HDR  panorama, HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps, Yes (Apple Pay only),   1.12 W/kg (head) &nbsp  &nbsp  1.14 W/kg (body) &nbsp  &nbsp  , 1080 x 1920 pixels (~401 ppi pixel density), NULL, iMessage  SMS (threaded view)  MMS  Email  Push Email, Space Gray  Silver  Gold  Rose Gold, Non-removable Li-Po 2750 mAh battery (10.45 Wh), Dual-core 1.84 GHz Twister, NULL, Yes, NULL, 2015  September, v2.0  reversible connector, 2160p@30fps  1080p@60fps 1080p@120fps  720p@240fps, NULL, iOS 9  upgradable to iOS 9.2,   Contrast ratio: 1382:1 (nominal)  3.530 (sunlight), HTML5 (Safari)
appleiphone 6, Yes, LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700)  38(2600)  39(1900)  40(2300)  41(2500) - A1586, NULL, Wi-Fi 802.11 a/b/g/n/ac  dual-band  hotspot, 1/3" sensor size  1.5 Âµm pixel size  touch focus  geo-tagging  face/smile detection  HDR (photo/panorama), 129 g (4.55 oz), LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700) - A1549 GSM  A1549 CDMA, GSM 850 / 900 / 1800 / 1900 - A1549 (GSM)  A1549 (CDMA)  A1586, v4.0  A2DP  LE,   Basemark OS II: 1252 / Basemark X: 15841, Yes, No, GSM / CDMA / HSPA / EVDO / LTE, NULL, PowerVR GX6450 (quad-core graphics), 4.7 inches (~65.8% screen-to-body ratio),   Voice 66dB / Noise 65dB / Ring 72dB, Apple iPhone 6, Vibration  proprietary ringtones, No, 138.1 x 67 x 6.9 mm (5.44 x 2.64 x 0.27 in),   0.98 W/kg (head) &nbsp  &nbsp  0.97 W/kg (body) &nbsp  &nbsp  , - Apple Pay (Visa  MasterCard  AMEX certified), Apple, Up to 14 h (3G), NULL, Up to 250 h (3G), Yes, 16/64/128 GB  1 GB RAM DDR3, NULL, - Display Zoom, LED-backlit IPS LCD  capacitive touchscreen  16M colors, Nano-SIM, Yes  with A-GPS  GLONASS, Available. Released 2014  September, - Active noise cancellation with dedicated mic%  - Siri natural language commands and dictation%  - iCloud cloud service%  - iCloud Keychain%  - TV-out%  - Maps%  - Audio/video player/editor%  - Organizer%  - Document viewer/editor%  - Photo viewer/editor%  - Voice memo/dial/command%  - Predictive text input, NULL,   Noise -94dB / Crosstalk -73.4dB, 8 MP  f/2.2  29mm  phase detection autofocus  dual-LED (dual tone) flash, HSDPA 850 / 900 / 1700 / 1900 / 2100 - A1549 (GSM)  A1549 (CDMA)  A1586, NULL, Ion-strengthened glass  oleophobic coating, Up to 50 h, Apple A8, No, Fingerprint  accelerometer  gyro  proximity  compass  barometer, Yes,   Photo / Video, 1.2 MP  f/2.2  31mm  720p@30fps  face detection  HDR  FaceTime over Wi-Fi or Cellular, HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps, Yes (Apple Pay only),   1.18 W/kg (head) &nbsp  &nbsp  1.18 W/kg (body) &nbsp  &nbsp  , 750 x 1334 pixels (~326 ppi pixel density), NULL, iMessage  SMS (threaded view)  MMS  Email  Push Email, Space Gray  Silver  Gold, Non-removable Li-Po 1810 mAh battery (6.9 Wh), Dual-core 1.4 GHz Typhoon (ARM v8-based), NULL, Yes, NULL, 2014  September, v2.0  reversible connector, 1080p@60fps  720p@240fps, NULL, iOS 8  upgradable to iOS 9.2,   Contrast ratio: 1213 (nominal)  3.838 (sunlight), HTML5 (Safari)
appleiphone 7, Yes, LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  12(700)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700)  30(2300)  38(2600)  39(1900)  40(2300)  41(2500), NULL, Wi-Fi 802.11 a/b/g/n/ac  dual-band  hotspot, 1/3" sensor size  1.22 Âµm pixel size  geo-tagging  simultaneous 4K video and 8MP image recording  touch focus  face/smile detection  HDR (photo/panorama), -, LTE band 1(2100)  2(1900)  3(1800)  4(1700/2100)  5(850)  7(2600)  8(900)  12(700)  13(700)  17(700)  18(800)  19(800)  20(800)  25(1900)  26(850)  28(700)  29(700)  30(2300), GSM 850 / 900 / 1800 / 1900 , v4.2  A2DP  LE, NULL, Yes  with stereo speakers, No, GSM / CDMA / HSPA / EVDO / LTE, NULL, NULL, 5.5 inches, NULL, Apple iPhone 7 Pro, Vibration  proprietary ringtones, No, 6.1 mm thickness, NULL, - Apple Pay (Visa  MasterCard  AMEX certified)%  - Waterproof, Apple, NULL, NULL, NULL, Yes, 32/128/256 GB  GB  3 GB RAM, NULL, - 3D Touch display & home button%  - Display Zoom, LED-backlit IPS LCD  capacitive touchscreen  16M colors, Nano-SIM, Yes  with A-GPS  GLONASS, Rumored, - Wireless charging%  - Siri natural language commands and dictation%  - iCloud cloud service%  - MP3/WAV/AAX+/AIFF/Apple Lossless player%  - MP4/H.264 player%  - Audio/video/photo editor%  - Document editor, NULL, NULL, Dual 12 MP  f/2.2  29mm  phase detection autofocus  OIS  dual-LED (dual tone) flash, HSDPA 850 / 900 / 1700 / 1900 / 2100 , NULL, Ion-strengthened glass or Sapphire crystal glass  oleophobic coating, NULL, Apple A10, No, Fingerprint  accelerometer  gyro  proximity  compass  barometer, No, NULL, 5 MP  f/2.2  31mm  1080p@30fps  720p@240fps  face detection  HDR  panorama, HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps, Yes (Apple Pay only), NULL, 1080 x 1920 pixels (~401 ppi pixel density), NULL, iMessage  SMS (threaded view)  MMS  Email  Push Email, Deep blue  Space Gray  Silver  Gold  Rose Gold, Non-removable Li-Po battery, NULL, NULL, Yes, - Active noise cancellation with dedicated mic, Not announced yet, v3.0  reversible connector  magnetic connector, 2160p@30fps  1080p@60fps 1080p@120fps  720p@240fps, NULL, iOS 10, NULL, HTML5 (Safari)
lgg5, Yes, NULL, No, No, NULL, 80 g (2.82 oz), NULL, GSM 900 / 1800 , No, NULL, No, No, GSM, Yes, NULL, NULL, NULL, LG G5200, Vibration  Downloadable polyphonic ringtones, No, 84 x 45 x 20 mm (3.31 x 1.77 x 0.79 in), NULL, NULL, LG, Up to 4 h, NULL, Up to 200 h, NULL, NULL, NULL, - Second display 96 x 64 pixels%  - Blue backlight%  - Downloadable wallpapers, Grayscale graphic  4 shades, Mini-SIM, No, Discontinued, - Predictive text input%  - Organizer%  - World clock%  - Voice dial%  - Voice memo, 5 - Crazy Race  Corsair  Stone Axe  Black Jack  Othello, NULL, NULL, NULL, - 100 short messages%  - 10 voice dial numbers%  - 210 sec voice memo%  - 20 calendar events, NULL, NULL, NULL, No, NULL, No, NULL, NULL, NULL, NULL, NULL, 128 x 128 pixels, Yes, SMS, 1, Removable Li-Po 780 mAh battery, NULL, 200 x 5 fields  7 co, No, NULL, 2002  3Q, NULL, NULL, 20 dialed  20 received  20 missed calls, NULL, NULL, WAP 1.2.1
googlepixel, No, NULL, NULL, Wi-Fi 802.11 a/b/g/n  dual-band  Wi-Fi Direct  hotspot, Yes, 517 g (1.14 lb), NULL,  N/A, v4.1  A2DP, NULL, Yes  with stereo speakers, No, No cellular connectivity, NULL, Nvidia Maxwell, 10.2 inches (~72.4% screen-to-body ratio), NULL, Google Pixel C, Vibration  MP3  WAV ringtones, No, 242 x 179 x 7 mm (9.53 x 7.05 x 0.28 in), NULL, NULL, Google, NULL, NULL, NULL, Yes, 32/64 GB  3 GB RAM, NULL, NULL, LTPS IPS LCD capacitive touchscreen  16M colors, No, NULL, Available. Released 2015  December, - Active noise cancellation with dedicated mics%  - MP4/H.264 player%  - MP3/WAV/eAAC+/Flac player%  - Photo/video editor%  - Document viewer, NULL, NULL, 8 MP  f/2.4, NULL, NULL, NULL, NULL, Nvidia Tegra X1, No, Accelerometer  gyro  proximity  compass, Yes, NULL, 2 MP, NULL, NULL, NULL, 2560 x 1800 pixels (~308 ppi pixel density), NULL, Email  Push Mail  IM, Silver Aluminum, Non-removable battery (34.2 Wh), Quad-core 1.9 GHz, NULL, No, NULL, 2015  October, v3.0  Type-C reversible connector, Yes, NULL, Android OS  v6.0.1 (Marshmallow), NULL, HTML5
