phones,color,headphone,design,size,network,pay,sms,battery,camera,safety,memory,intelligence,performance,siri,price,connectivity,smartwatch,fingerprint,sound,daydream,wallet,display,software
iphone_6plus,0.060038,0.000377,0.020833,0.011732,0.032153,0.02557,0,0.025165,0.026144,-0.035215,0.018801,0.099107,0.040633,0.023827,0.010505,0.006823,0.007655,0.060879,0.023504,0,-0.004746,0.022389,-0.005079
iphone7,0.050496,-0.002332,0.020713,-0.004181,0.013001,0.017165,0,0.020993,0.025488,-0.008609,0.006055,0.152521,0.043874,0.027359,-0.007315,0.002451,0.052802,0.020229,0.013051,0,0.003159,0.03286,0.024921
iphone_6,0.037073,0.008157,0.021759,0.009365,0.031506,0.017868,0,0.027104,0.022783,-0.051587,0.009759,0.108678,0.034283,0.020812,0.006676,-0.011263,0.007367,0.021411,0.02259,0,0.003511,0.015393,0.001158
iphone_6s,0.051069,0.00528,0.029653,0.007394,0.029702,0.028198,0,0.019715,0.026831,0,0.010458,0.137157,0.049293,0.027513,0.009478,0.007482,0,0.053402,0.01428,0,0.000184,0.015941,0.037097
galaxy_s7,0.033097,0.017096,-0.048243,0.015873,0.018461,0.02956,0,0.017001,0.031086,-0.03232,0.016055,0.182784,0.030428,0.122782,0.016843,0.001872,0.008293,0.024849,0.025647,0.043561,0.043377,0.022912,0.044023
pixel,0.034696,0.020564,-0.033643,0.011111,0.024006,0.022202,0,0.016483,0.020822,-0.041483,0.016755,0.118897,0.026335,0.026131,0.009667,-0.009747,0.023644,0.020076,0.029217,0.028753,-0.004902,0.021393,0.021427
lg_g5,0.048133,0.015139,-0.029787,0.014273,0.007498,0.029358,0,0.01844,0.028102,0.00334,0.013962,0.080626,0.027325,0.113853,0.016883,0.001346,0.014352,0.021289,0.029294,0.033333,-0.02963,0.028293,0.015734
