phones,color,headphone,design,size,network,pay,sms,battery,camera,safety,memory,intelligence,performance,siri,price,connectivity,smartwatch,fingerprint,sound,daydream,wallet,display,software
iphone_6plus,186,486,1034,2254,478,1416,0,1584,4102,22,878,16,1214,208,1228,234,236,244,462,0,170,3456,830
iphone7,948,6852,3184,1870,438,288,0,2716,9064,34,3144,52,2000,158,1586,3156,226,162,1114,10,372,2476,786
iphone_6,178,262,1360,2980,478,990,0,1692,3990,18,864,38,1376,202,1520,212,226,402,470,0,146,4568,878
iphone_6s,458,1236,1866,2502,604,938,0,1992,7642,0,1534,30,1960,392,2088,498,6,288,630,0,148,3524,470
galaxy_s7,98,578,1256,1464,6180,578,0,2122,4120,268,2460,6,1646,18,984,290,38,344,288,8,54,3294,466
pixel,136,1248,1016,2534,460,172,0,2062,4624,24,2976,476,2080,318,1380,802,38,586,1394,818,24,4408,1550
lg_g5,136,976,1506,1580,3566,306,0,3018,5208,92,1740,80,1648,20,904,426,108,536,682,8,18,2706,440
