phones,color,photo,proximity,compass,headphone,design,size,network,accelerometer,sms,battery,camera,safety,memory,performance,gps,barometer,connectivity,cardboard,sound,wallet,display,software
iphone_6plus,0,0,0,-0.034483,-0.034483,0,0,0,-0.034483,0,-0.038462,-0.055172,0,-0.034483,0,-0.034483,-0.034483,0,0,0,-0.034483,0,-0.1
iphone7,0.002425,0.018724,0,0.001334,0,0.019844,0.011499,0.005714,0.001334,0.004167,0.008328,0.014566,-0.011494,0.017024,0.000959,0,0.001334,0.00407,0.006713,0.000514,0,0.001451,0
iphone_6,0,0.010989,0,0,0.038462,0.019231,0,0.017544,0,0,0.012346,0.005089,0,0.012821,0.005495,0,0,0.00573,0,0,0,0,0
iphone_6s,0.016873,0.016803,0.037037,0,0,0.024271,0.028986,-0.043478,0,0,0.016885,0.009796,0.043478,0.006008,0.019916,0,0,0.008535,0.016873,0.002303,0,0,0
galaxy_s7,0,0,0,0,0,0,0,0,0,0,0,0.003788,0,0,0,0,0,0.02381,0,0,0,0,0
pixel,0.011765,0.005839,0,0.002451,0,0.005839,0.055556,0.028309,0.002451,-0.011161,0,0.04307,0.030835,-0.003895,0.005844,0,0.002451,0,0.011765,0.055556,0,0.002226,0.045638
lg_g5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
